[2022-09-21 16:41:06,833][TRITON_CLIENT][INFO]BatchSize: 1, Progress: 73/50000, RespTime: 0.2680
[2022-09-21 16:41:07,150][TRITON_CLIENT][INFO]BatchSize: 1, Progress: 74/50000, RespTime: 0.2688
[2022-09-21 16:41:07,441][TRITON_CLIENT][INFO]BatchSize: 1, Progress: 75/50000, RespTime: 0.2675
[2022-09-21 16:41:07,732][TRITON_CLIENT][INFO]BatchSize: 1, Progress: 76/50000, RespTime: 0.2682
[2022-09-21 16:41:08,025][TRITON_CLIENT][INFO]BatchSize: 1, Progress: 77/50000, RespTime: 0.2681
[2022-09-21 16:41:08,316][TRITON_CLIENT][INFO]BatchSize: 1, Progress: 78/50000, RespTime: 0.2678
[2022-09-21 16:41:08,609][TRITON_CLIENT][INFO]BatchSize: 1, Progress: 79/50000, RespTime: 0.2707
[2022-09-21 16:41:08,898][TRITON_CLIENT][INFO]BatchSize: 1, Progress: 80/50000, RespTime: 0.2675
[2022-09-21 16:41:09,188][TRITON_CLIENT][INFO]BatchSize: 1, Progress: 81/50000, RespTime: 0.2685
[2022-09-21 16:41:09,478][TRITON_CLIENT][INFO]BatchSize: 1, Progress: 82/50000, RespTime: 0.2676
[2022-09-21 16:41:09,768][TRITON_CLIENT][INFO]BatchSize: 1, Progress: 83/50000, RespTime: 0.2684
[2022-09-21 16:41:10,059][TRITON_CLIENT][INFO]BatchSize: 1, Progress: 84/50000, RespTime: 0.2685
[2022-09-21 16:41:10,353][TRITON_CLIENT][INFO]BatchSize: 1, Progress: 85/50000, RespTime: 0.2701
[2022-09-21 16:41:10,650][TRITON_CLIENT][INFO]BatchSize: 1, Progress: 86/50000, RespTime: 0.2691
[2022-09-21 16:41:10,938][TRITON_CLIENT][INFO]BatchSize: 1, Progress: 87/50000, RespTime: 0.2680
[2022-09-21 16:41:11,230][TRITON_CLIENT][INFO]BatchSize: 1, Progress: 88/50000, RespTime: 0.2680
[2022-09-21 16:41:11,521][TRITON_CLIENT][INFO]BatchSize: 1, Progress: 89/50000, RespTime: 0.2677
[2022-09-21 16:41:11,812][TRITON_CLIENT][INFO]BatchSize: 1, Progress: 90/50000, RespTime: 0.2681
[2022-09-21 16:41:12,106][TRITON_CLIENT][INFO]BatchSize: 1, Progress: 91/50000, RespTime: 0.2686
[2022-09-21 16:41:12,404][TRITON_CLIENT][INFO]BatchSize: 1, Progress: 92/50000, RespTime: 0.2682
[2022-09-21 16:41:12,692][TRITON_CLIENT][INFO]BatchSize: 1, Progress: 93/50000, RespTime: 0.2679
[2022-09-21 16:41:12,981][TRITON_CLIENT][INFO]BatchSize: 1, Progress: 94/50000, RespTime: 0.2681
[2022-09-21 16:41:13,270][TRITON_CLIENT][INFO]BatchSize: 1, Progress: 95/50000, RespTime: 0.2679
[2022-09-21 16:41:13,563][TRITON_CLIENT][INFO]BatchSize: 1, Progress: 96/50000, RespTime: 0.2703
[2022-09-21 16:41:13,857][TRITON_CLIENT][INFO]BatchSize: 1, Progress: 97/50000, RespTime: 0.2681
[2022-09-21 16:41:14,155][TRITON_CLIENT][INFO]BatchSize: 1, Progress: 98/50000, RespTime: 0.2697
[2022-09-21 16:41:14,445][TRITON_CLIENT][INFO]BatchSize: 1, Progress: 99/50000, RespTime: 0.2676
[2022-09-21 16:41:14,736][TRITON_CLIENT][INFO]BatchSize: 1, Progress: 100/50000, RespTime: 0.2691
[2022-09-21 16:41:15,030][TRITON_CLIENT][INFO]BatchSize: 1, Progress: 101/50000, RespTime: 0.2683
[2022-09-21 16:41:15,317][TRITON_CLIENT][INFO]BatchSize: 1, Progress: 102/50000, RespTime: 0.2686
[2022-09-21 16:41:15,608][TRITON_CLIENT][INFO]BatchSize: 1, Progress: 103/50000, RespTime: 0.2697
[2022-09-21 16:41:15,892][TRITON_CLIENT][INFO]BatchSize: 1, Progress: 104/50000, RespTime: 0.2678
[2022-09-21 16:41:16,178][TRITON_CLIENT][INFO]BatchSize: 1, Progress: 105/50000, RespTime: 0.2682
[2022-09-21 16:41:16,469][TRITON_CLIENT][INFO]BatchSize: 1, Progress: 106/50000, RespTime: 0.2680
[2022-09-21 16:41:16,759][TRITON_CLIENT][INFO]BatchSize: 1, Progress: 107/50000, RespTime: 0.2677
[2022-09-21 16:41:17,049][TRITON_CLIENT][INFO]BatchSize: 1, Progress: 108/50000, RespTime: 0.2687
[2022-09-21 16:41:17,337][TRITON_CLIENT][INFO]BatchSize: 1, Progress: 109/50000, RespTime: 0.2680
[2022-09-21 16:41:17,637][TRITON_CLIENT][INFO]BatchSize: 1, Progress: 110/50000, RespTime: 0.2688
[2022-09-21 16:41:17,921][TRITON_CLIENT][INFO]BatchSize: 1, Progress: 111/50000, RespTime: 0.2678
[2022-09-21 16:41:18,287][TRITON_CLIENT][INFO]BatchSize: 1, Progress: 112/50000, RespTime: 0.2682
[2022-09-21 16:41:18,578][TRITON_CLIENT][INFO]BatchSize: 1, Progress: 113/50000, RespTime: 0.2682
[2022-09-21 16:41:18,892][TRITON_CLIENT][INFO]BatchSize: 1, Progress: 114/50000, RespTime: 0.2686
[2022-09-21 16:41:19,189][TRITON_CLIENT][INFO]BatchSize: 1, Progress: 115/50000, RespTime: 0.2693
[2022-09-21 16:41:19,477][TRITON_CLIENT][INFO]BatchSize: 1, Progress: 116/50000, RespTime: 0.2679
[2022-09-21 16:41:19,775][TRITON_CLIENT][INFO]BatchSize: 1, Progress: 117/50000, RespTime: 0.2689
